Amount,TransactionType,Location,Hour,Device,IsFraud
38700.06,Bill Payment,Bangalore,15,iOS,0
48781.36,Merchant Payment,Chennai,17,iOS,0
18546.19,Merchant Payment,Chennai,4,iOS,0
11369.66,Bill Payment,Kolkata,2,Android,0
37906.81,Bill Payment,Mumbai,16,iOS,0
9739.99,Bill Payment,Bangalore,8,Android,0
37240.66,Merchant Payment,Bangalore,8,Android,0
9481.67,Send Money,Chennai,11,Android,0
21863.22,Merchant Payment,Hyderabad,3,iOS,0
40240.17,Bill Payment,Kolkata,20,Android,0
10003.41,Send Money,Chennai,19,iOS,0
39038.64,Bill Payment,Hyderabad,13,iOS,0
33423.46,Bill Payment,Kolkata,15,iOS,0
27683.43,Bill Payment,Chennai,2,Android,0
10737.09,Bill Payment,Kolkata,6,iOS,0
14076.38,Send Money,Bangalore,22,iOS,0
33219.03,Bill Payment,Bangalore,9,iOS,0
4511.49,Merchant Payment,Chennai,18,Android,0
7624.08,Merchant Payment,Bangalore,11,Android,0
31517.83,Bill Payment,Kolkata,14,Android,1
45429.95,Merchant Payment,Bangalore,11,Android,0
35847.34,Bill Payment,Chennai,18,Android,0
22794.26,Send Money,Chennai,16,Android,0
42832.15,Merchant Payment,Bangalore,0,iOS,0
29209.06,Bill Payment,Hyderabad,2,Android,0
24704.6,Send Money,Hyderabad,4,Android,0
8537.94,Merchant Payment,Kolkata,7,iOS,0
1149.97,Merchant Payment,Bangalore,3,Android,0
24338.05,Bill Payment,Bangalore,16,iOS,0
13356.11,Send Money,Hyderabad,22,iOS,0
41316.33,Merchant Payment,Hyderabad,0,Android,0
33615.28,Send Money,Delhi,2,iOS,1
5395.97,Merchant Payment,Kolkata,14,Android,0
18552.4,Merchant Payment,Bangalore,7,iOS,0
14552.98,Bill Payment,Kolkata,14,Android,0
2255.08,Bill Payment,Kolkata,7,iOS,0
44540.72,Merchant Payment,Mumbai,5,iOS,0
33086.45,Bill Payment,Kolkata,9,Android,0
46841.29,Send Money,Mumbai,22,Android,0
8971.62,Bill Payment,Chennai,8,iOS,0
38872.47,Merchant Payment,Bangalore,7,iOS,0
11490.5,Send Money,Mumbai,6,iOS,0
34716.18,Bill Payment,Bangalore,18,Android,0
36951.81,Send Money,Bangalore,19,Android,0
15054.43,Bill Payment,Hyderabad,3,iOS,0
46241.17,Send Money,Hyderabad,11,iOS,0
7025.58,Bill Payment,Mumbai,17,iOS,0
